TIME,ROAD_CLASS,DISTRICT,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,MANOEUVER,DRIVACT,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,NEIGHBOURHOOD_158
955,Major Arterial,North York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Other,Passenger,75 to 79,Major,,,,,,,,,,,,Yes,,,,Yes,,,,,Flemingdon Park
1137,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Passenger,20 to 24,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,,Danforth East York
1836,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,Yes,Yes,Yes,,,Yonge-Bay Corridor
1345,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,Minimal,East,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Bendale-Glen Andrew
1247,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,70 to 74,,South,Changing Lanes,Lost control,,,,,,,Yes,,Yes,,,,,,,,,Tam O'Shanter-Sullivan
1345,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,55 to 59,Minor,,,,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Bendale-Glen Andrew
1247,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Other Property Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,,,,,,Tam O'Shanter-Sullivan
1247,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Other Property Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,,,,,,Tam O'Shanter-Sullivan
1345,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,45 to 49,Minimal,East,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Bendale-Glen Andrew
1247,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Other Property Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,,,,,,Tam O'Shanter-Sullivan
914,Minor Arterial,Toronto and East York,Intersection,Pedestrian Crossover,Other,Daylight,Other,Fatal,Pedestrian Collisions,Driver,40 to 44,,West,Going Ahead,Failed to Yield Right of Way,,,,,,,Yes,,,,,Yes,,,Yes,,,South Riverdale
1730,Local,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,West,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,South Riverdale
1247,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Minimal,,,,Other / Undefined,Other,Normal,,,,Yes,,Yes,,,,,,,,,Tam O'Shanter-Sullivan
1836,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,65 to 69,,North,Turning Left,Improper Turn,,,,,,,Yes,,Yes,,,,Yes,Yes,Yes,,,Yonge-Bay Corridor
1137,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,,Danforth East York
1438,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,,South,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,,,,,,Birchcliffe-Cliffside
1035,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,,,Yes,,,St Lawrence-East Bayfront-The Islands
1836,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,20 to 24,,,,,,,,,,,Yes,,Yes,,,,Yes,Yes,Yes,,,Yonge-Bay Corridor
1707,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,,South,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,,,,,,Yonge-Bay Corridor
1247,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,,,,Other / Undefined,Other,Normal,,,,Yes,,Yes,,,,,,,,,Tam O'Shanter-Sullivan
1345,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,60 to 64,Minimal,North,Going Ahead,Disobeyed Traffic Control,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Bendale-Glen Andrew
1438,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,,Other,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Fatigue,,,,Yes,,Yes,,,,,,,,,Birchcliffe-Cliffside
715,Minor Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Wet,Non-Fatal Injury,Angle,Passenger,45 to 49,Major,,,,,,,,,,,,Yes,,,,Yes,,,,,Agincourt North
1137,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,40 to 44,,South,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,Yes,,,,,Danforth East York
1035,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,East,Going Ahead,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,,St Lawrence-East Bayfront-The Islands
1836,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,,South,Changing Lanes,Lost control,,,,,,,Yes,,Yes,,,,Yes,Yes,Yes,,,Yonge-Bay Corridor
1720,Major Arterial,North York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,35 to 39,Major,East,Going Ahead,Improper Passing,,,,,,,,,Yes,Yes,,,,,Yes,,,York University Heights
1707,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,15 to 19,Major,East,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,Yonge-Bay Corridor
1945,Minor Arterial,Etobicoke York,Intersection,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,,South,Going Ahead,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,,Weston
715,Minor Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Wet,Non-Fatal Injury,Angle,Driver,60 to 64,Minor,East,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,,,,Agincourt North
1137,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,West,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive,,,,Yes,,Yes,,,,Yes,,,,,Danforth East York
1836,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,Yes,,Yes,,,,Yes,Yes,Yes,,,Yonge-Bay Corridor
1035,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,0 to 4,Major,South,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,Yes,,,St Lawrence-East Bayfront-The Islands
715,Minor Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Wet,Non-Fatal Injury,Angle,Driver,35 to 39,Minor,South,Going Ahead,Lost control,,,,,,,,,Yes,,,,Yes,,,,,Agincourt North
1840,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,65 to 69,,South,Stopped,Driving Properly,,,,,,,,,Yes,,,,,,Yes,,,Beechborough-Greenbrook
1945,Minor Arterial,Etobicoke York,Intersection,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Wheelchair,40 to 44,Major,East,,,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal,,,,Yes,,Yes,,,,,,Yes,,,Weston
1653,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,The Beaches
1720,Major Arterial,North York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,,North,Turning Left,Driving Properly,,,,,,,,,Yes,Yes,,,,,Yes,,,York University Heights
2144,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,,North,Going Ahead,Disobeyed Traffic Control,,,,,,,Yes,,Yes,,,,,,Yes,Yes,,Willowridge-Martingrove-Richview
255,Major Arterial,North York,Intersection,Stop Sign,Clear,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,North,Going Ahead,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,Yes,Clanton Park
1349,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,50 to 54,,North,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,,Bayview Village
255,Major Arterial,North York,Intersection,Stop Sign,Clear,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,,Other,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Had Been Drinking,,,,Yes,,Yes,,,,,,Yes,,Yes,Clanton Park
1915,Minor Arterial,Etobicoke York,Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,25 to 29,,West,Turning Right,Improper Turn,,,,,,,,Yes,Yes,,,,,,,,,Keelesdale-Eglinton West
1653,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,65 to 69,,North,Turning Left,Failed to Yield Right of Way,,,,,,,,,Yes,Yes,,,,,Yes,,,The Beaches
1840,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,,,Yes,,,Beechborough-Greenbrook
555,Major Arterial,North York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,50 to 54,Minimal,South,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,,,Yes,Yes,,Wexford/Maryvale
1349,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,65 to 69,Fatal,North,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown,,,,Yes,,Yes,,,,,,Yes,,,Bayview Village
1105,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,80 to 84,Major,West,Going Ahead,Lost control,,,,,,,,,Yes,,,,,,,,,Mount Pleasant East
2144,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,85 to 89,Major,East,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Unknown,,,,Yes,,Yes,,,,,,Yes,Yes,,Willowridge-Martingrove-Richview
1840,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,20 to 24,Major,South,Going Ahead,Following too Close,,,,,,,,,Yes,,,,,,Yes,,,Beechborough-Greenbrook
2001,Major Arterial,North York,Intersection,Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,Approaching,Driver,85 to 89,Major,East,Going Ahead,Lost control,,,,,,,,,Yes,,,,,,,,,St.Andrew-Windfields
555,Major Arterial,North York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,Major,East,Going Ahead,Disobeyed Traffic Control,,,,,,,,,Yes,,,,,,Yes,Yes,,Wexford/Maryvale
1640,Major Arterial,North York,Mid-Block,No Control,Snow,Daylight,Slush,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,,,,Yes,,,,,,Caledonia-Fairbank
1915,Minor Arterial,Etobicoke York,Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,West,Going Ahead,,,,,Motorist turning right on red at signalized intersection strikes cyclist.,Driving Properly,Normal,,Yes,Yes,,,,,,,,,Keelesdale-Eglinton West
1653,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Other,unknown,,West,Parked,,,,,,,,,,Yes,Yes,,,,,Yes,,,The Beaches
1640,Major Arterial,North York,Mid-Block,No Control,Snow,Daylight,Slush,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,,West,Going Ahead,Driving Properly,,,,,,,Yes,,,,,Yes,,,,,,Caledonia-Fairbank
817,,Scarborough,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,,,,,,Centennial Scarborough
2001,Major Arterial,North York,Intersection,Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,Approaching,Driver,35 to 39,Minimal,West,Slowing or Stopping,Driving Properly,,,,,,,,,Yes,,,,,,,,,St.Andrew-Windfields
1352,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,,,,,,Greenwood-Coxwell
1635,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,,,Yes,,,St Lawrence-East Bayfront-The Islands
1653,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,55 to 59,Major,West,Going Ahead,Driving Properly,,,,,,,,,Yes,Yes,,,,,Yes,,,The Beaches
24,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,Major,,,,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Dorset Park
1640,Major Arterial,North York,Mid-Block,No Control,Snow,Daylight,Slush,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Medical or Physical Disability,,,,Yes,,,,,Yes,,,,,,Caledonia-Fairbank
817,,Scarborough,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Driver,55 to 59,Fatal,East,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,,,,,,Centennial Scarborough
1352,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,,North,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,,,,,,Greenwood-Coxwell
1635,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,Major,East,Stopped,Driving Properly,,,,,,,,,Yes,,,,,,Yes,,,St Lawrence-East Bayfront-The Islands
2110,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Downtown Yonge East
24,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Dorset Park
1430,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Slush,Non-Fatal Injury,Rear End,Passenger,unknown,Minimal,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,Kensington-Chinatown
2320,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,,East,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,,,,,,Cliffcrest
1635,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,55 to 59,,East,Stopped,Driving Properly,,,,,,,,,Yes,,,,,,Yes,,,St Lawrence-East Bayfront-The Islands
2110,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,West,Going Ahead,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Downtown Yonge East
24,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,30 to 34,Major,South,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Dorset Park
1137,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,,,,,,Alderwood
1430,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Slush,Non-Fatal Injury,Rear End,Driver,45 to 49,Major,South,Stopped,Driving Properly,,,,,,,,,Yes,,,,Yes,,Yes,,,Kensington-Chinatown
2320,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,15 to 19,Major,North,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,,,,Yes,,Yes,,,,,,,,,Cliffcrest
1635,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,60 to 64,,East,Going Ahead,Following too Close,,,,,,,,,Yes,,,,,,Yes,,,St Lawrence-East Bayfront-The Islands
2110,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Downtown Yonge East
1137,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,,South,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,,,,,,Alderwood
24,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,20 to 24,Minimal,East,Going Ahead,Disobeyed Traffic Control,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Dorset Park
1430,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Slush,Non-Fatal Injury,Rear End,Driver,25 to 29,,South,Going Ahead,Following too Close,,,,,,,,,Yes,,,,Yes,,Yes,,,Kensington-Chinatown
1925,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,,,,Yes,,,,,,Yonge-Bay Corridor
852,Major Arterial,North York,Mid-Block,No Control,Clear,Daylight,Other,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,,,,,,Yorkdale-Glen Park
2110,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,20 to 24,Minimal,,,,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Downtown Yonge East
1137,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,10 to 14,Minimal,West,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,,,,Yes,,Yes,,,,,,,,,Alderwood
1352,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,,West,Stopped,Driving Properly,,,,,,,,,Yes,,,,,,,,,Greenwood-Coxwell
852,Major Arterial,North York,Mid-Block,No Control,Clear,Daylight,Other,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,,West,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,,,,,,Yorkdale-Glen Park
1925,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,,East,Turning Right,Improper Turn,,,,,,,Yes,,,,,Yes,,,,,,Yonge-Bay Corridor
1352,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,,,,,,Greenwood-Coxwell
1445,Major Arterial,North York,Intersection,Stop Sign,Clear,Daylight,Slush,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,,,,,,Newtonbrook West
852,Major Arterial,North York,Mid-Block,No Control,Clear,Daylight,Other,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,70 to 74,Major,South,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,Yorkdale-Glen Park
1137,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,West,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,,,,Yes,,Yes,,,,,,,,,Alderwood
2039,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,,South,Turning Right,Improper Turn,,,,,,,,,Yes,Yes,,,,Yes,Yes,,,Etobicoke City Centre
2110,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,,South,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Downtown Yonge East
1925,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,Unknown,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,On Sidewalk or Shoulder,Unknown,,,,Yes,,,,,Yes,,,,,,Yonge-Bay Corridor
1445,Major Arterial,North York,Intersection,Stop Sign,Clear,Daylight,Slush,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,,North,Turning Left,Improper Turn,,,,,,,Yes,,Yes,,,,,,,,,Newtonbrook West
308,Major Arterial,North York,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,,,,Yes,,,,,,St.Andrew-Windfields
1145,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,,East,Making U Turn,Improper Turn,,,,,,,Yes,,Yes,,,,,,,,,South Riverdale
1445,Major Arterial,North York,Intersection,Stop Sign,Clear,Daylight,Slush,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,70 to 74,Minor,South,,,Vehicle turns left while ped crosses without ROW at inter.,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,Newtonbrook West
2100,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,80 to 84,,East,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,,,,,,West Humber-Clairville
2110,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,South,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,,,,Yes,,Yes,,,,Yes,,Yes,,,Downtown Yonge East
2039,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,25 to 29,Major,West,Going Ahead,Exceeding Speed Limit,,,,,,,,,Yes,Yes,,,,Yes,Yes,,,Etobicoke City Centre
1352,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,Major,South,Turning Left,Improper Turn,,,,,,,,,Yes,,,,,,,,,Greenwood-Coxwell
308,Major Arterial,North York,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,,South,Pulling Away from Shoulder or Curb,Driving Properly,,,,,,,Yes,,,,,Yes,,,,,,St.Andrew-Windfields
1445,Major Arterial,North York,Intersection,Stop Sign,Clear,Daylight,Slush,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,70 to 74,Major,South,,,Vehicle turns left while ped crosses without ROW at inter.,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,Newtonbrook West
1145,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,Unknown,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,Yes,,Yes,,,,,,,,,South Riverdale
33,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,,South,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,,Malvern East
